Tanggal,Kasus_Positif,Kasus_Sembuh,Kasus_Meninggal
2020-10-01,4174,3540,116
2020-10-02,4317,2853,116
2020-10-03,4007,3712,83
2020-10-04,3992,3401,96
2020-10-05,3622,4140,102
2020-10-06,4056,3844,121
2020-10-07,4538,3854,98
2020-10-08,4850,3769,108
2020-10-09,4094,3607,97
2020-10-10,4294,3814,88
2020-10-11,4497,3546,79
2020-10-12,3267,3492,91
2020-10-13,3906,4777,92
2020-10-14,4127,4555,129
2020-10-15,4411,5810,112
2020-10-16,4301,3883,79
2020-10-17,4301,4048,84
2020-10-18,4105,3732,80
2020-10-19,3373,3919,106
2020-10-20,3602,4410,117
2020-10-21,4267,3856,123
2020-10-22,4432,3497,102
2020-10-23,4369,4094,118
2020-10-24,4070,4119,128
2020-10-25,3732,4545,94
2020-10-26,3222,3908,112
2020-10-27,3520,4576,101
2020-10-28,4029,3545,100
2020-10-29,3565,3985,89
2020-10-30,2897,4517,81
2020-10-31,3143,3506,87
2020-11-01,2696,4141,74
2020-11-02,2618,3624,101
2020-11-03,2973,3931,102
2020-11-04,3356,3785,113
2020-11-05,4065,3860,89
2020-11-06,3778,3563,94
2020-11-07,4262,3712,98
2020-11-08,3880,3881,74
2020-11-09,2853,3968,75
2020-11-10,3779,3475,72
2020-11-11,3770,3241,75
2020-11-12,4173,3102,97
2020-11-13,5444,3010,104
2020-11-14,5272,3000,111
2020-11-15,4106,3897,63
2020-11-16,3535,3452,85
2020-11-17,3807,3193,97
2020-11-18,4265,3711,110
2020-11-19,4798,4265,97
2020-11-20,4792,3940,78
2020-11-21,4998,3403,96
2020-11-22,4360,4233,110
2020-11-23,4442,4198,118
2020-11-24,4192,2927,109
2020-11-25,5534,4494,114
2020-11-26,4917,3842,127
2020-11-27,5828,3807,169
2020-11-28,5418,4527,125
2020-11-29,6267,3810,169
2020-11-30,4617,4725,130
2020-12-01,5092,4361,136
2020-12-02,5533,4001,118
2020-12-03,8369,3673,156
2020-12-04,5803,3625,124
2020-12-05,6027,4271,110
2020-12-06,6089,4322,151
2020-12-07,5754,4431,127
2020-12-08,5292,4295,133
2020-12-09,6058,3948,171
2020-12-10,6033,4530,165
2020-12-11,6310,4911,175
2020-12-12,6388,4490,142
2020-12-13,6189,4460,166
2020-12-14,5489,5121,137
2020-12-15,6120,5699,155
2020-12-16,6725,5328,137
2020-12-17,7354,4995,142
2020-12-18,6689,5016,124
2020-12-19,7751,4265,145
2020-12-20,6982,5551,221
2020-12-21,6848,5073,205
2020-12-22,6347,5838,172
2020-12-23,7514,5981,151
2020-12-24,7199,5277,181
2020-12-25,7259,6324,258
2020-12-26,6740,6389,147
2020-12-27,6528,6983,243
2020-12-28,5854,6302,215
2020-12-29,7903,6805,251
2020-12-30,8002,6958,241
2020-12-31,8074,7356,194
2021-01-01,8072,6839,191
2021-01-02,7203,7582,226
2021-01-03,6877,6419,179
2021-01-04,6753,7166,177
2021-01-05,7445,6643,198
2021-01-06,8854,6767,187
2021-01-07,9321,6924,224
2021-01-08,10617,7446,233
2021-01-09,10046,6628,194
2021-01-10,9640,7513,182
2021-01-11,8692,7715,214
2021-01-12,10047,7068,302
2021-01-13,11278,7657,306
2021-01-14,11557,7741,295
2021-01-15,12818,7491,238
2021-01-16,14224,8662,283
2021-01-17,11287,9102,220
2021-01-18,9086,9475,295
2021-01-19,10365,8013,308
2021-01-20,12568,9755,267
2021-01-21,11703,9087,346
2021-01-22,13632,8357,250
2021-01-23,12191,9912,211
2021-01-24,11788,7751,171
2021-01-25,9994,10678,297
2021-01-26,13094,10868,336
2021-01-27,11948,10974,387
2021-01-28,13695,10792,476
2021-01-29,13802,10138,187
2021-01-30,14518,10242,210
2021-01-31,12001,10719,270
2021-02-01,10994,10461,279
2021-02-02,10379,12848,304
2021-02-03,11984,9135,189
2021-02-04,11434,11641,231
2021-02-05,11749,9674,201
2021-02-06,12156,12204,191
2021-02-07,10827,10806,163
2021-02-08,8242,13038,207
2021-02-09,8700,10424,213
2021-02-10,8776,9520,191
2021-02-11,8435,10145,214
2021-02-12,9869,11000,275
2021-02-13,8844,11919,280
2021-02-14,6765,9237,247
2021-02-15,6462,6792,184
2021-02-16,10029,7609,229
2021-02-17,9687,8002,192
2021-02-18,9039,10546,181
2021-02-19,10614,10783,183
2021-02-20,8054,9835,164
2021-02-21,7300,8236,173
2021-02-22,10180,9918,202
2021-02-23,9775,7996,323
2021-02-24,7533,7735,240
2021-02-25,8493,8686,264
2021-02-26,8232,7261,268
2021-02-27,6208,7382,195
2021-02-28,5560,6649,185
2021-03-01,6680,9212,159
2021-03-02,5712,8948,193
2021-03-03,6808,9053,203
2021-03-04,7264,6440,176
2021-03-05,6971,6331,129
2021-03-06,5767,6823,128
2021-03-07,5826,5146,112
2021-03-08,6894,8725,281
2021-03-09,6389,7496,210
2021-03-10,5633,5556,175
2021-03-11,5144,8170,117
2021-03-12,6412,6851,180
2021-03-13,4607,6016,100
2021-03-14,4714,5647,97
2021-03-15,5589,6830,147
2021-03-16,5414,7716,180
2021-03-17,6825,9010,162
2021-03-18,6570,6285,227
2021-03-19,6279,6007,197
2021-03-20,5656,5760,108
2021-03-21,4396,6065,103
2021-03-22,5744,7177,161
2021-03-23,5297,6954,154
2021-03-24,5227,7622,118
2021-03-25,6107,4656,98
2021-03-26,4982,5679,85
2021-03-27,4461,4243,198
2021-03-28,4083,4279,85
2021-03-29,5008,5418,132
2021-03-30,4682,5877,173
2021-03-31,5937,5635,104
